Date : 2024-01-08 22:25:24
Directory : /Users/girithc/work/pronto-go
Total : 75 files,  8928 codes, 643 comments, 1949 blanks, all 11520 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/girithc/work/pronto-go/types/higher-level-category.go               | Go               |         36 |          0 |          8 |         44 |
| /Users/girithc/work/pronto-go/types/item-store.go                          | Go               |          8 |          0 |          3 |         11 |
| /Users/girithc/work/pronto-go/types/item-update.go                         | Go               |         12 |          0 |          4 |         16 |
| /Users/girithc/work/pronto-go/types/item.go                                | Go               |        172 |          2 |         14 |        188 |
| /Users/girithc/work/pronto-go/types/phonepe.go                             | Go               |         99 |          1 |         20 |        120 |
| /Users/girithc/work/pronto-go/types/sales-order.go                         | Go               |        127 |          0 |         20 |        147 |
| /Users/girithc/work/pronto-go/types/search-item.go                         | Go               |         17 |          0 |          4 |         21 |
| /Users/girithc/work/pronto-go/types/shelf.go                               | Go               |         10 |          0 |          3 |         13 |
| /Users/girithc/work/pronto-go/types/shopping-cart.go                       | Go               |         23 |          0 |          6 |         29 |
| /Users/girithc/work/pronto-go/types/store.go                               | Go               |         37 |          0 |          9 |         46 |
| /Users/girithc/work/pronto-go/worker/http.go                               | Go               |         66 |          2 |         13 |         81 |
| /Users/girithc/work/pronto-go/worker/worker-pool.go                        | Go               |         70 |          2 |         15 |         87 |
| Total                                                                      |                  |      8,928 |        643 |      1,949 |     11,520 |
+----------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
