"filename", "language", "Go", "Go Checksum File", "Go Module File", "Properties", "Markdown", "comment", "blank", "total"
"/Users/girithc/work/pronto-go/.env", "Properties", 0, 0, 0, 3, 0, 0, 0, 3
"/Users/girithc/work/pronto-go/api/handle-address.go", "Go", 68, 0, 0, 0, 0, 0, 19, 87
"/Users/girithc/work/pronto-go/api/handle-brand.go", "Go", 39, 0, 0, 0, 0, 0, 15, 54
"/Users/girithc/work/pronto-go/api/handle-cancel-checkout.go", "Go", 29, 0, 0, 0, 0, 0, 7, 36
"/Users/girithc/work/pronto-go/api/handle-cart-item.go", "Go", 83, 0, 0, 0, 0, 1, 20, 104
"/Users/girithc/work/pronto-go/api/handle-category-higher-level-mapping.go", "Go", 76, 0, 0, 0, 0, 0, 21, 97
"/Users/girithc/work/pronto-go/api/handle-category.go", "Go", 97, 0, 0, 0, 0, 2, 28, 127
"/Users/girithc/work/pronto-go/api/handle-checkout.go", "Go", 44, 0, 0, 0, 0, 0, 16, 60
"/Users/girithc/work/pronto-go/api/handle-cloud-task.go", "Go", 26, 0, 0, 0, 0, 3, 7, 36
"/Users/girithc/work/pronto-go/api/handle-customer.go", "Go", 119, 0, 0, 0, 0, 12, 37, 168
"/Users/girithc/work/pronto-go/api/handle-delivery-partner.go", "Go", 108, 0, 0, 0, 0, 9, 31, 148
"/Users/girithc/work/pronto-go/api/handle-higher-level-category.go", "Go", 60, 0, 0, 0, 0, 0, 17, 77
"/Users/girithc/work/pronto-go/api/handle-item-store.go", "Go", 31, 0, 0, 0, 0, 0, 9, 40
"/Users/girithc/work/pronto-go/api/handle-item-update.go", "Go", 49, 0, 0, 0, 0, 6, 14, 69
"/Users/girithc/work/pronto-go/api/handle-item.go", "Go", 151, 0, 0, 0, 0, 5, 31, 187
"/Users/girithc/work/pronto-go/api/handle-packer.go", "Go", 20, 0, 0, 0, 0, 2, 9, 31
"/Users/girithc/work/pronto-go/api/handle-payment-verify.go", "Go", 20, 0, 0, 0, 0, 0, 6, 26
"/Users/girithc/work/pronto-go/api/handle-phonepe.go", "Go", 52, 0, 0, 0, 0, 0, 17, 69
"/Users/girithc/work/pronto-go/api/handle-sales-order.go", "Go", 177, 0, 0, 0, 0, 0, 45, 222
"/Users/girithc/work/pronto-go/api/handle-search-items.go", "Go", 20, 0, 0, 0, 0, 0, 8, 28
"/Users/girithc/work/pronto-go/api/handle-shelf.go", "Go", 35, 0, 0, 0, 0, 3, 13, 51
"/Users/girithc/work/pronto-go/api/handle-shopping-cart.go", "Go", 26, 0, 0, 0, 0, 0, 9, 35
"/Users/girithc/work/pronto-go/api/handle-store.go", "Go", 63, 0, 0, 0, 0, 0, 17, 80
"/Users/girithc/work/pronto-go/api/handler.go", "Go", 980, 0, 0, 0, 0, 158, 297, 1435
"/Users/girithc/work/pronto-go/api/server.go", "Go", 87, 0, 0, 0, 0, 3, 31, 121
"/Users/girithc/work/pronto-go/go.mod", "Go Module File", 0, 0, 42, 0, 0, 0, 4, 46
"/Users/girithc/work/pronto-go/go.sum", "Go Checksum File", 0, 335, 0, 0, 0, 0, 1, 336
"/Users/girithc/work/pronto-go/main.go", "Go", 33, 0, 0, 0, 0, 0, 10, 43
"/Users/girithc/work/pronto-go/readme.md", "Markdown", 0, 0, 0, 0, 56, 0, 11, 67
